ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Creatine,1.24773478803441,1.41148666828646e-15,2.96331917082632,0.00520567804288492,0.037118747784049,-2.50009597213001
Purine,1.08899822111988,1.08246744900953e-15,2.94126230316311,0.00551666922578522,0.0385869579254554,-2.55289967385773
PC(29:0)),-1.14328239584816,-0.00889601711672862,-2.94039624801735,0.00552922872712319,0.0385869579254554,-2.5549680048176
Methionine,1.15754697946599,-3.57815628978149e-15,2.92987260452261,0.00568399990715599,0.0389277748501713,-2.58007051715643
SM(d36:2),1.17752083186416,4.96824803519758e-15,2.9290178451044,0.00569674753904946,0.0389277748501713,-2.5821069515231
PC(32:2),-1.08283013313544,-6.89986262569775e-16,-2.90064979009103,0.00613533526895144,0.0414925766642489,-2.64948177125861
PC(38:7),-1.10574449950307,4.92039857931855e-15,-2.87828649467415,0.00650315040274572,0.0435312924918489,-2.7023039537993
FA (20:4) [M-H]-,1.17659898022026,-2.21003770839445e-15,2.8607371701936,0.00680611401505054,0.0449121943328596,-2.74357384803299
PC(38:3),-1.03457832307682,-1.34744645996498e-15,-2.85823268034914,0.00685040993626875,0.0449121943328596,-2.74945042392328
SM (d42:3) [M+H]+,0.998009445719377,-9.90527104782757e-16,2.85461695541864,0.00691483479819942,0.0449121943328596,-2.75792862231886
4-Hydroxy-Proline,1.23989486675509,4.76326154445298e-16,2.79198011358271,0.00812457810820153,0.052252188617453,-2.90370170550072
Hexanoylcarnitine,1.16574678902105,-7.15501153695601e-16,2.77966191068964,0.00838454806128034,0.0533011237908229,-2.93212221724729
PC(28:1),-1.15682323050372,-0.0911163517432593,-2.77660831188126,0.00845017816195973,0.0533011237908229,-2.93915474967002
PC (38:2) [M+H]+,-0.91695744570762,1.0125002688118e-15,-2.77237483252048,0.00854195703758846,0.0533668934919812,-2.94889619982588
PC(40:8),-1.1391039609197,-1.92796444318614e-15,-2.75752365324944,0.0088712930026366,0.0549015868842416,-2.98299223956386
Beta-Carboxyglutaric Acid,-0.95589361662981,-0.0633689258667834,-2.74745842511958,0.00910115675448481,0.0552923620425538,-3.00603179815234
