Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
C1R,-0.225003964530372,23.7229588656567,-1.5797225212793,0.131533747024556,0.434376285098661,-5.1552814034465
FBN1,-0.273800865339397,14.4552971954874,-1.57834247356902,0.131850393780039,0.434376285098661,-5.15723357043005
KRAS,0.327981128942528,13.8013827285196,1.57807181012665,0.131912571565372,0.434376285098661,-5.15761629149533
RASGRP2,0.582936257149436,13.9654221173776,1.57279139904552,0.13313054339048,0.436972053410604,-5.16507300224335
MANF,0.287023702611399,15.1643278001713,1.57250870732276,0.13319601401411,0.436972053410604,-5.1654716752713
C5,-0.296443818666226,18.4665346207496,-1.57125138393487,0.133487534102899,0.437115951190386,-5.16724419481062
S100A4,0.372708393195834,14.1533524853851,1.56899567837276,0.134011878560596,0.438020306776764,-5.17042151969133
SEPTIN5,0.498979958318891,12.5913748884168,1.5651038400312,0.134920607100828,0.439430947793893,-5.17589538383122
ALDH1A1,0.491629277702653,12.8424876888409,1.56419439664485,0.135133701288676,0.439430947793893,-5.1771730393392
IGFBP3,-0.23357443693267,21.0263453339072,-1.56305369071697,0.135401381850184,0.439430947793893,-5.17877479925834
TDRP,0.70643051980684,11.3003972694092,1.56118951844196,0.135839788596536,0.439430947793893,-5.18139054271599
MECP2,0.751819074917566,12.1517449299478,1.56017506057698,0.136078862761564,0.439430947793893,-5.18281300672727
LTBP2,-0.28202637545395,12.8314443888341,-1.55808516157339,0.136572493251695,0.439430947793893,-5.18574124596583
HAMP,0.823109998825835,12.3561147410794,1.55722135733392,0.136776959547156,0.439430947793893,-5.18695069048012
TGFBR3,-0.396236254959648,11.5541970178819,-1.55716834262811,0.136789516700782,0.439430947793893,-5.18702490185134
RBMXL3,0.746102332685088,11.1836914585263,1.55264168780947,0.137865270147055,0.439430947793893,-5.19335438977714
LAMA5,-0.470722181075601,14.9596637431984,-1.55175776448719,0.13807615658412,0.439430947793893,-5.19458872758617
DSTN,0.355884377300641,15.5292319454771,1.55133776228735,0.138176455159372,0.439430947793893,-5.1951750452251
